date,structure,S_open,S_close,iv,gross_credit,pnl,vix_prev,put_strike,put_credit,put_exit,put_reason,put_pnl,call_strike,call_credit,call_exit,call_reason,call_pnl
2026-08-05,strangle,775.85,769.79,0.165,356.5,-167.1,16.5,775,2.74,5.21,expire,-248.43,783,0.83,0.0,expire,81.33
2026-08-06,strangle,770.21,768.56,0.1581,321.03,274.43,15.81,769,2.42,0.44,expire,197.03,777,0.79,0.0,expire,77.4
2026-08-07,strangle,771.02,773.26,0.1515,324.47,321.87,15.15,770,2.38,0.0,expire,237.06,777,0.86,0.0,expire,84.81
2026-08-10,strangle,772.6,773.03,0.149,327.81,325.21,14.9,772,2.53,0.0,expire,251.87,779,0.75,0.0,expire,73.34
2026-08-11,strangle,774.53,770.56,0.1546,349.37,2.77,15.46,774,2.68,3.44,expire,-77.31,781,0.81,0.0,expire,80.08
2026-08-12,strangle,774.71,772.49,0.1528,338.77,185.17,15.28,774,2.56,1.51,expire,103.92,781,0.83,0.0,expire,81.25
2026-08-13,strangle,774.87,777.88,0.1455,310.66,308.06,14.55,774,2.35,0.0,expire,233.61,781,0.76,0.0,expire,74.44
2026-08-14,strangle,778.54,776.34,0.1463,324.3,155.71,14.63,778,2.53,1.66,expire,85.59,785,0.71,0.0,expire,70.12
2026-08-17,strangle,776.18,772.67,0.1425,294.16,58.56,14.25,775,2.16,2.33,expire,-18.3,782,0.78,0.0,expire,76.86
2026-08-18,strangle,768.7,767.45,0.1519,332.16,274.56,15.19,768,2.53,0.55,expire,196.39,775,0.79,0.0,expire,78.18
2026-08-19,strangle,770.36,769.06,0.1584,318.54,315.94,15.84,769,2.37,0.0,expire,235.2,777,0.82,0.0,expire,80.74
2026-08-20,strangle,765.96,762.6,0.1489,314.05,71.45,14.89,765,2.34,2.4,expire,-7.11,772,0.8,0.0,expire,78.56
2026-08-21,strangle,766.05,765.72,0.1601,328.72,326.12,16.01,765,2.52,0.0,expire,250.25,773,0.77,0.0,expire,75.87
2026-08-24,strangle,764.78,763.47,0.1513,325.61,270.01,15.13,764,2.46,0.53,expire,192.11,771,0.79,0.0,expire,77.9
